device_name,mac_prefix,uuid_entropy,rssi_jitter,adv_interval,service_count,packet_loss_rate,label
Huawei_Watch,78:85,2.2284043529063147,2.2712584006546463,219.3700315892974,4,0.012479561626896212,1
Huawei_Watch,00:25,2.7063233020424544,1.8426760281837011,241.6145155592091,7,0.07759278817295955,1
Unknown_Sensor,FF:FF:FF,2.720118521720475,0.2021026677707387,278.59808067241914,2,0.02433937943676302,1
Galaxy_Buds,20:AB,2.302361513049481,0.9407041084356922,210.13352105002832,5,0.003733253057089234,1
Unknown_Sensor,FF:FF:FF,1.9762703962817991,1.4313889573859968,241.33167305074244,4,0.03059695930137302,1
Unknown_Sensor,FF:FF:FF,2.2701389395206553,0.32541611434399387,209.3580733422589,2,0.03603994015756344,1
Galaxy_Buds,20:AB,2.6759424231521916,2.0784741658562145,154.83047845120672,8,0.01847150604977192,1
Unknown_Sensor,FF:FF:FF,2.0721982418614817,0.5295032340809028,189.13184382002862,4,0.013869172280621766,1
AirPods,00:1F,2.5637655990477874,1.2481065826145863,204.01360423556216,6,0.045416026225599315,1
AirPods,A4:83,2.689599342216499,1.5794099200874376,179.0300472003629,8,0.04783199830488681,1
Unknown_Sensor,FF:FF:FF,1.924502999447586,1.740198730894578,193.75016680464825,3,0.02602642646106115,1
Unknown_Sensor,FF:FF:FF,2.471516143178595,1.6571687574505152,205.6152098194927,2,0.02247476077499046,1
Unknown_Sensor,FF:FF:FF,1.8587989366293063,0.9999384654010224,129.74804903134046,2,0.07895095492804138,1
Unknown_Sensor,FF:FF:FF,2.0133459736282404,0.9924180717387028,102.5343680887152,4,0.05654858750780937,1
Huawei_Watch,00:25,2.639889242680162,0.5777071641618169,171.6931457088545,3,0.07319677404350246,1
AirPods,00:1F,2.166787081543288,1.3899638052758392,233.76825053272145,9,0.05836849426704513,1
Unknown_Sensor,FF:FF:FF,1.8571383308870835,1.715357249788793,168.92683745568218,4,0.0570595829778396,1
AirPods,00:25:96,2.4928940382986475,2.3503212318909465,198.75911927287814,5,0.05685303117486299,1
